target,corpus,year,count
mirror,psych,2010,243
mirror,psych,2011,211
mirror,psych,2012,192
mirror,psych,2013,267
mirror,psych,2014,310
mirror,psych,2015,209
mirror,psych,2016,253
mirror,psych,2017,140
mirror,psych,2018,98
music,psych,1970,8
music,psych,1971,9
music,psych,1972,20
music,psych,1973,29
music,psych,1974,11
music,psych,1975,19
music,psych,1976,26
music,psych,1977,37
music,psych,1978,6
music,psych,1979,31
music,psych,1980,20
music,psych,1981,16
music,psych,1982,26
music,psych,1983,44
music,psych,1984,56
music,psych,1985,28
music,psych,1986,49
music,psych,1987,91
music,psych,1988,98
music,psych,1989,155
music,psych,1990,112
music,psych,1991,138
music,psych,1992,98
music,psych,1993,137
music,psych,1994,128
music,psych,1995,132
music,psych,1996,156
music,psych,1997,192
music,psych,1998,118
music,psych,1999,159
music,psych,2000,207
music,psych,2001,208
music,psych,2002,177
music,psych,2003,190
music,psych,2004,238
music,psych,2005,236
music,psych,2006,356
music,psych,2007,381
music,psych,2008,402
music,psych,2009,530
music,psych,2010,527
music,psych,2011,681
music,psych,2012,731
music,psych,2013,864
music,psych,2014,1031
music,psych,2015,1019
music,psych,2016,944
music,psych,2017,643
music,psych,2018,693
newspaper,psych,1970,1
newspaper,psych,1972,1
newspaper,psych,1973,2
newspaper,psych,1974,5
newspaper,psych,1975,5
newspaper,psych,1976,2
newspaper,psych,1977,1
newspaper,psych,1978,6
newspaper,psych,1979,5
newspaper,psych,1980,12
newspaper,psych,1981,9
newspaper,psych,1982,10
newspaper,psych,1983,9
newspaper,psych,1984,12
newspaper,psych,1985,10
newspaper,psych,1986,6
newspaper,psych,1987,14
newspaper,psych,1988,5
newspaper,psych,1989,11
newspaper,psych,1990,15
newspaper,psych,1991,6
newspaper,psych,1992,8
newspaper,psych,1993,15
newspaper,psych,1994,12
newspaper,psych,1995,10
newspaper,psych,1996,17
newspaper,psych,1997,24
newspaper,psych,1998,20
newspaper,psych,1999,17
newspaper,psych,2000,25
newspaper,psych,2001,28
newspaper,psych,2002,40
newspaper,psych,2003,34
newspaper,psych,2004,35
newspaper,psych,2005,17
newspaper,psych,2006,31
newspaper,psych,2007,34
newspaper,psych,2008,33
newspaper,psych,2009,39
newspaper,psych,2010,34
newspaper,psych,2011,49
newspaper,psych,2012,41
newspaper,psych,2013,57
newspaper,psych,2014,59
newspaper,psych,2015,39
newspaper,psych,2016,42
newspaper,psych,2017,44
newspaper,psych,2018,35
paper,psych,1970,169
paper,psych,1971,173
paper,psych,1972,163
paper,psych,1973,242
paper,psych,1974,286
paper,psych,1975,338
paper,psych,1976,445
paper,psych,1977,503
paper,psych,1978,545
paper,psych,1979,579
paper,psych,1980,664
paper,psych,1981,740
paper,psych,1982,851
paper,psych,1983,820
paper,psych,1984,871
paper,psych,1985,921
paper,psych,1986,964
